Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
0.2; 2; 138; 2; 38; true; 0.0549744315575723; 0.1289744315575723; 0.074; 1; 0.074;-1;0.2
0.2; 0; 121; 0; 21; true; 0.9130387460859157; 0.9880387460859157; 0.075; 1; 0.075;-1;0.2
0.2; 2; 104; 2; 4; true; 0.2065511187410589; 0.2805511187410589; 0.074; 1; 0.074;-1;0.2
0.2; 0; 143; 0; 43; true; 0.9237153898306222; 0.9987153898306221; 0.075; 1; 0.075;-1;0.2
0.2; 2; 109; 2; 9; true; 0.898430046434297; 0.972430046434297; 0.074; 1; 0.074;-1;0.2
0.2; 0; 144; 0; 44; true; 0.8182561253046728; 0.8932561253046728; 0.075; 1; 0.075;-1;0.2
0.2; 2; 119; 2; 19; true; 0.693789613423503; 0.7677896134235029; 0.074; 1; 0.074;-1;0.2
0.2; 0; 122; 0; 22; true; 0.4836058622524135; 0.5586058622524135; 0.075; 1; 0.075;-1;0.2
0.2; 1; 133; 1; 33; true; 0.3564041524535329; 0.4304041524535329; 0.074; 1; 0.074;-1;0.2
0.2; 0; 145; 0; 45; true; 0.2982789612760939; 0.3732789612760939; 0.075; 1; 0.075;-1;0.2
0.2; 1; 134; 1; 34; true; 0.2903303888440106; 0.3643303888440106; 0.074; 1; 0.074;-1;0.2
0.2; 1; 108; 1; 8; true; 0.0410169541473003; 0.1150169541473003; 0.074; 1; 0.074;-1;0.2
0.2; 1; 117; 1; 17; true; 0.2493467984260938; 0.3233467984260938; 0.074; 1; 0.074;-1;0.2
0.2; 1; 135; 1; 35; true; 0.3700027474801026; 0.4440027474801027; 0.074; 1; 0.074;-1;0.2
0.2; 1; 136; 1; 36; true; 0.8803282473966548; 0.9543282473966548; 0.074; 1; 0.074;-1;0.2
0.2; 1; 118; 1; 18; true; 0.3857179811545685; 0.4597179811545685; 0.074; 1; 0.074;-1;0.2
0.2; 1; 137; 1; 37; true; 0.0514532149705727; 0.1254532149705727; 0.074; 1; 0.074;-1;0.2
0.2; 1; 138; 1; 38; true; 0.4524904927305541; 0.526490492730554; 0.074; 1; 0.074;-1;0.2
0.2; 1; 104; 1; 4; true; 0.5207899825993966; 0.5947899825993965; 0.074; 1; 0.074;-1;0.2
0.2; 1; 109; 1; 9; true; 0.5889455931749681; 0.662945593174968; 0.074; 1; 0.074;-1;0.2
0.2; 1; 119; 1; 19; true; 0.9788234838736912; 1.0528234838736912; 0.074; 1; 0.074;19.130974003743276;0.2
