Firing Time, Firing Node, Firing Neuron,  Neuron Type, External Source
0.2, 0, 100, inhibitory, true
0.2, 0, 199, inhibitory, true
0.2, 0, 101, inhibitory, true
0.2, 0, 103, inhibitory, true
0.2, 0, 107, inhibitory, true
0.2, 0, 115, inhibitory, true
0.2, 0, 131, inhibitory, true
0.2, 0, 163, inhibitory, true
0.2, 0, 164, inhibitory, true
0.2, 0, 132, inhibitory, true
0.2, 0, 165, inhibitory, true
0.2, 0, 166, inhibitory, true
0.2, 0, 116, inhibitory, true
0.2, 0, 133, inhibitory, true
0.2, 0, 167, inhibitory, true
0.2, 0, 168, inhibitory, true
0.2, 0, 134, inhibitory, true
0.2, 0, 169, inhibitory, true
0.2, 0, 170, inhibitory, true
0.2, 0, 108, inhibitory, true
0.2, 0, 117, inhibitory, true
0.2, 0, 135, inhibitory, true
0.2, 0, 171, inhibitory, true
0.2, 0, 172, inhibitory, true
0.2, 0, 136, inhibitory, true
0.2, 0, 173, inhibitory, true
0.2, 0, 174, inhibitory, true
0.2, 0, 118, inhibitory, true
0.2, 0, 137, inhibitory, true
0.2, 0, 175, inhibitory, true
0.2, 0, 176, inhibitory, true
0.2, 0, 138, inhibitory, true
0.2, 0, 177, inhibitory, true
0.2, 0, 178, inhibitory, true
0.2, 0, 104, inhibitory, true
0.2, 0, 109, inhibitory, true
0.2, 0, 119, inhibitory, true
0.2, 0, 139, inhibitory, true
0.2, 0, 179, inhibitory, true
0.2, 0, 180, inhibitory, true
0.2, 0, 140, inhibitory, true
0.2, 0, 181, inhibitory, true
0.2, 0, 182, inhibitory, true
0.2, 0, 120, inhibitory, true
0.2, 0, 141, inhibitory, true
0.2, 0, 183, inhibitory, true
0.2, 0, 184, inhibitory, true
0.2, 0, 142, inhibitory, true
0.2, 0, 185, inhibitory, true
0.2, 0, 186, inhibitory, true
0.2, 0, 110, inhibitory, true
0.2, 0, 121, inhibitory, true
0.2, 0, 143, inhibitory, true
0.2, 0, 187, inhibitory, true
0.2, 0, 188, inhibitory, true
0.2, 0, 144, inhibitory, true
0.2, 0, 189, inhibitory, true
0.2, 0, 190, inhibitory, true
0.2, 0, 122, inhibitory, true
0.2, 0, 145, inhibitory, true
0.2, 0, 191, inhibitory, true
0.2, 0, 192, inhibitory, true
0.2, 0, 146, inhibitory, true
0.2, 0, 193, inhibitory, true
0.2, 0, 194, inhibitory, true
0.2, 0, 102, inhibitory, true
0.2, 0, 105, inhibitory, true
0.2, 0, 111, inhibitory, true
0.2, 0, 123, inhibitory, true
0.2, 0, 147, inhibitory, true
0.2, 0, 195, inhibitory, true
0.2, 0, 196, inhibitory, true
0.2, 0, 148, inhibitory, true
0.2, 0, 197, inhibitory, true
0.2, 0, 198, inhibitory, true
0.2, 0, 124, inhibitory, true
0.2, 0, 149, inhibitory, true
0.2, 0, 150, inhibitory, true
0.2, 0, 112, inhibitory, true
0.2, 0, 125, inhibitory, true
0.2, 0, 151, inhibitory, true
0.2, 0, 152, inhibitory, true
0.2, 0, 126, inhibitory, true
0.2, 0, 153, inhibitory, true
0.2, 0, 154, inhibitory, true
0.2, 0, 106, inhibitory, true
0.2, 0, 113, inhibitory, true
0.2, 0, 127, inhibitory, true
0.2, 0, 155, inhibitory, true
0.2, 0, 156, inhibitory, true
0.2, 0, 128, inhibitory, true
0.2, 0, 157, inhibitory, true
0.2, 0, 158, inhibitory, true
0.2, 0, 114, inhibitory, true
