Firing Time, Firing Node, Firing Neuron,  Neuron Type, External Source
0, 1, 3336, inhibitory, true
0, 1, 2268, inhibitory, true
0, 1, 3337, inhibitory, true
0, 1, 3338, inhibitory, true
0, 1, 1734, inhibitory, true
0, 1, 2269, inhibitory, true
0, 1, 3339, inhibitory, true
0, 1, 3340, inhibitory, true
0, 1, 2270, inhibitory, true
0, 1, 3341, inhibitory, true
0, 1, 3342, inhibitory, true
0, 1, 1266, inhibitory, true
0, 1, 1333, inhibitory, true
0, 1, 1467, inhibitory, true
0, 1, 1735, inhibitory, true
0, 1, 2271, inhibitory, true
0, 1, 3343, inhibitory, true
0, 1, 3344, inhibitory, true
0, 1, 2272, inhibitory, true
0, 1, 3345, inhibitory, true
0, 1, 3346, inhibitory, true
0, 1, 1736, inhibitory, true
0, 1, 2273, inhibitory, true
0, 1, 3347, inhibitory, true
0, 1, 3348, inhibitory, true
0, 1, 2274, inhibitory, true
0, 1, 3349, inhibitory, true
0, 1, 3350, inhibitory, true
0, 1, 1468, inhibitory, true
0, 1, 1737, inhibitory, true
0, 1, 2275, inhibitory, true
0, 1, 3351, inhibitory, true
0, 1, 3352, inhibitory, true
0, 1, 2276, inhibitory, true
0, 1, 3353, inhibitory, true
0, 1, 3354, inhibitory, true
0, 1, 1738, inhibitory, true
0, 1, 2277, inhibitory, true
0, 1, 3355, inhibitory, true
0, 1, 3356, inhibitory, true
0, 1, 2278, inhibitory, true
0, 1, 3357, inhibitory, true
0, 1, 3358, inhibitory, true
0, 1, 1334, inhibitory, true
0, 1, 1469, inhibitory, true
0, 1, 1739, inhibitory, true
0, 1, 2279, inhibitory, true
0, 1, 3359, inhibitory, true
0, 1, 3360, inhibitory, true
0, 1, 2280, inhibitory, true
0, 1, 3361, inhibitory, true
0, 1, 3362, inhibitory, true
0, 1, 1740, inhibitory, true
0, 1, 2281, inhibitory, true
0, 1, 3363, inhibitory, true
0, 1, 3364, inhibitory, true
0, 1, 2282, inhibitory, true
0, 1, 3365, inhibitory, true
0, 1, 3366, inhibitory, true
0, 1, 1470, inhibitory, true
0, 1, 1741, inhibitory, true
0, 1, 2283, inhibitory, true
0, 1, 3367, inhibitory, true
0, 1, 3368, inhibitory, true
0, 1, 2284, inhibitory, true
0, 1, 3369, inhibitory, true
0, 1, 3370, inhibitory, true
0, 1, 1742, inhibitory, true
0, 1, 2285, inhibitory, true
0, 1, 3371, inhibitory, true
0, 1, 3372, inhibitory, true
0, 1, 2286, inhibitory, true
0, 1, 3373, inhibitory, true
0, 1, 3374, inhibitory, true
